,full_text,sentiment,emotion
553,"No había caído en cuenta que el lunes 30 de mayo es puente festivo, se pueden perjudicar las elecciones, por favor no viajen ese día, salgan a votar juiciosos que si no votan se monta Petro!! Pilas Colombia, a ser responsables!!",,
200,"@AndresElGury @CNE_COLOMBIA Definitivamente el CNE NO da confianza alguna, parecen estar politizados, entraban los cursos normales de lo constitucional y eso es GRAVISIMO, ESTA PASANDO CON LA REVOCATORIA Y ESTA PASANDO CON LA REGISTRADURIA con las ELECCIONES, ESTAMOS EN UN INMINENTE RIESGO COMO DEMOCRACIA",negative,anger
74,"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. 🇨🇴 parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 
 
 
 
 ¿Conmoción Interior?....",negative,fear
342,"@supershadai @Registraduria Quien o que institución en Colombia atiende los reclamos al fraude electoral?
 
 Porque no suspender a al registrador que ya la defeco en las elecciones de senado y camara.
 
 Hay una desconfianza general en cuanto a las presidenciales.
 
 Están provocando una respuesta violenta.",,
485,"Viví de cerca el CAMBIO de Venezuela.
 
 
 
 Fue el pais más rico de América Latina, hoy su economía está destruida.
 
 
 
 A punta de decretos acaban connlas empresas y la que sobrevive la expropian.
 
 
 
 Colombia es anticomunista y lo demostraremos en las próximas elecciones.",,
642,"El próximo 2 de junio se realizará el ""Debate Feminista: Colombia 2022"" con los candidatos presidenciales que logren llegar a segunda vuelta 💭🇨🇴
 
 
 
 https://t.co/zpHp59ivvi",neutral,joy
533,"@correawilly @CNE_COLOMBIA Leído los documentos provenientes de cada circunscripción territorial y de la internacional, se declaró el resultado de la Cámara por circunscripción internacional y se recibieron más de 1000 solicitudes y reclamaciones respecto de elecciones de Senado y Cámaras étnicas, …",,
353,"@Karlaarcila @afilada7 NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",,
12,"A caso en Colombia hay Procuraduría? O si existe está sin cabeza? Las elecciones al Congreso fueron un fraude, hay que anularlas y repetirlas; hay que cerrar el CNE y sacar a todos en la Registraduría, la mayoría para una CARCEL https://t.co/wSfZAJfJcX",negative,anger
160,"Estas elecciones son la Colombia buena y decente con #Fico vs un grupo de delincuentes comandados por @petrogustavo , asi de sencillito papa!",negative,anger
513,"@BOLIBAR2 @Registraduria @AndresPastrana_ @AlvaroUribeVel @santiagoangelp Tibisay Lucena colombiana @CNE_COLOMBIA @Doris_MendezC afirmó que el corrupto @Registraduria actuó de manera ""transparente"" en Las pasadas elecciones de congreso, ya sabemos lo que nos espera el 29 de Mayo, recuerde @CNE_COLOMBIA es petrista",,
172,@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Quédese calladito porque como se solicite un reconteo de las pasadas elecciones a la presidencia el Títere le va bien mal,negative,anger
6,Por fin lo dijo: Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia https://t.co/x6tAhI8K0f,neutral,anger
467,"#QuienRespondePor
 
 Queman carro de @UNALOficial Universidad Nacional en Santa Fe de Antioquia. El @COL_EJERCITO y la @PoliciaColombia Se escondieron no Actúan Parece ser el excenario para una Guerra Civil y así evitar Elecciones Presidenciales en Colombia @bbcmundo https://t.co/SWEo3DvigS",,
569,"EL órgano de control evaluará los hechos para garantizar la idoneidad de los jurados de votación y lograr unas Elecciones Transparentes.👇
 
 
 
 https://t.co/jWAc4byuUL",,
253,Me late que en estas elecciones las mujeres de Colombia somos las que vamos a poner Presidente 😍😍😍 #FicoPresidenteEnPrimeraVuelta https://t.co/Kb5EIULNlJ,positive,joy
261,"@jarizabaletaf NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",negative,anger
590,Es curioso que en este momento en #Colombia empiecen a verse actos sospechosos de las autodefensas y grupos armados. Una evocación al pasado. Será que lo que quieren es revivir la #SeguridadDemocratica para las elecciones? A quién buscan favorecer?,,
234,"La minería es uno de los temas en la agenda de los candidatos a la Presidencia de la República de Colombia
 
 https://t.co/S6fD8ufutt",neutral,joy
328,"Como ustedes construyen escenarios y en dicen que en bolsa no se compra el pasado sino las expectativas futuras, me imagino que tenían en la baraja a USA titubeando 20 días antes de elecciones en Colombia.",neutral,
267,"🇨🇴 El próximo domingo 29 de mayo, #Colombia tendrá su jornada de elecciones presidenciales. Aquí te contamos cuáles son las propuestas de tecnología y transformación digital de los 8 candidatos. 🌐👇
 
 https://t.co/ddIaxzHUtS",neutral,joy
2,"@PDleh @cokycafe @PGN_COL En Colombia existen miles de leyes para controlar los funcionarios públicos pero a la hora de aplicarlas ""se les olvida que existen"". ¿Que más pruebas quieren? ¿Porque avalan unas elecciones, las del 13 de marzo, donde pado de todo lo que no debía de pasar? Escuchamos respuestas",negative,anger
324,"El comunista @petrogustavo se quitó la careta este viernes y dijo que si gana las elecciones del #29Mayo en #Colombia reconocerá y trabajará diplomáticamente con el dictador @NicolasMaduro
 
 
 
 #Colombianos, no permitan que llegue el #Comunismo en su país.
 
 
 
 Voten por @FicoGutierrez https://t.co/IDWS9UoyaG",neutral,joy
522,"@PGN_COL @JuanchoVela @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo #ExigimosEleccionesTransparentes el registrador Vega debe ser investigado y apartado del cargo por lo sucedido en las elecciones del 13 de marzo.
 
 
 
 @CNE_COLOMBIA ,@PGN_COL y @Registraduria deben ser garantes de la democracia.",,
197,"@PATATAdibujo Total que bajeza, no eso no se hace, como duelen estás elecciones en Colombia, por un lado los candidatos con hambre de poder, por el otro los colombianos aburridos porque estamos en el escenario del menos peor y pa rematar un odio brutal entre todos, Colombia dueles",negative,sadness
394,"https://t.co/KXwMVRujE7 recomendado, votemos a conciencia. Este app que saco @elespectador le ayuda a ver como sus posiciones se alinean con su candidato. 1/3 #eleccionescolombia2022 #elecciones #colombia",,
376,"✊🏽Apertura y estabilidad democrática en Colombia, 🗳 el análisis de Daniel Ricardo Amaya en revista #CienDías edición N. 104 📲 https://t.co/d2YUoyQ8k6
 
 
 
 📸 @PactoHistorico https://t.co/c1UQd4KNDJ",neutral,joy
42,"@magally_zapata Apoyo esa idea no podemos quedarnos quejadonos en Twitter mientras el registrador la izquierda esperan para robarse las elecciones Colombia, merece unas elecciones justas @PGN_COL moviliccemonos a las diferentes registraduria hasta q renuncie registrador",negative,anger
33,@Fercho10615798 Ya la justicia bien justa de Colombia nego la destitución del Registrador así q ojo en las elecciones,negative,anger
105,"En la Video Columna de La Conversa, este sábado 8:00 p.m., análisis sobre la actualidad política y social de Colombia, a escasos días de elecciones presidenciales. https://t.co/DcJRYFli9t",neutral,joy
370,"¿Qué pasa con policia, esmad y ejercito?, media colombia sitiada por paramilitares a 3 semanas de elecciones presidenciales y estos hptas nada, pero fueran estudiantes, niños mujeres embarazadas, ya le habían sacado los ojos, malparidos asesinos hptas @GaulaPolicia @COL_EJERCITO",,
558,🇨🇴 La calificadora de riesgos le mantuvo a #Colombia su calificación crediticia confiando en que su estabilidad macroeconómica se mantendrá una vez elija nuevo presidente: https://t.co/Ajf3jcFhdX,,
645,"#QuienRespondePor la plata que regalaron en contratos escudándose en ""beneficiar a la Colombia profunda"" durante las elecciones? La misma Colombia a la que @karenabudi dejó sin conectividad. Quién responde por los 70 mil millones? No olvidemos nunca esta cifra.",negative,anger
38,"Con apoyo de @CNE_COLOMBIA @Doris_MendezC nos va a robar Las próximas elecciones presidenciales, ahora está suplantando a @FiscaliaCol atacando a @CeDemocratico para defender sus aliados los parásitos izquierdistas disfrazados de docentes @fecode . https://t.co/wBM1ge2mcZ",negative,anger
574,@twitneetor @ELTIEMPO @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Tan transparentes como las de las elecciones pasadas?,,
374,"👮‍♀️ La reprensión a la sociedad, manifiesta un gobierno que se ve amenazado y con poca capacidad de negociación y respuesta institucional. Más en revista #CienDías 104 👉🏽 https://t.co/d2YUoyQ8k6
 
 
 
 📸 @infopresidencia https://t.co/ZonY8FcHEm",negative,fear
489,"“Petro ha hecho oferta de indulto a nombre de los narcos. Tiene que aclarar ese negocio”. Incluso afirma que “el Caballo de Troya del narcotráfico en las elecciones en Colombia es Gustavo Petro y su jinete es Iván Cepeda”
 
 @AndresPastrana_ https://t.co/ypGm6I2Mxt",,
296,"""Lo que está viviendo Latinoamérica, cortesías de los procesos del Foro de Sao Paulo, se va poniendo realmente delicado. Hay que estar pendiente de lo que sucede en Chile y Perú, previo a las elecciones de Colombia."" @Noelleal",neutral,fear
143,"Estas elecciones hicieron una radiografía de todos los problemas fuertes de Colombia: La violencia, el desconocimiento de la constitución, la corrupción, el afán del gobierno de turno por evitar que les saquen los trapitos al sol, la poca ética de los medios, la ignorancia.",negative,anger
529,"Lo que me queda claro con este video es que los jurados de votación en las elecciones pasadas eran petristas.
 
 Para las proximas elecciones presidenciales el @CNE_COLOMBIA y la @Registraduria debe garantizarnos que los jurados todos no sean de la izquierda.
 
 #FicoUneAColombia https://t.co/jPUpwZzQCq",,
531,"@lut_gonzalez @SoyAlejoGomez @Diegolizarazol @petrogustavo @sergio_fajardo Exacto, con gente como fajardo que solo le importan sus propios intereses la que resulta quemada es colombia, o mire como nos fue con Duque.
 
 
 
 Por eso digo que desde el 2018 esta quemado para estas elecciones, el pueblo no olvida.",,
164,"#ColombiaDecide | Gustavo Petro contó con gran afluencia en la plaza Alfonso López, en Valledupar. Por más de una hora el candidato del Pacto Histórico expuso sus propuestas y compartió con algunos de sus simpatizantes. Más en https://t.co/0Rr4ts0rOv https://t.co/iKv6rxoH7m",neutral,joy
587,"@PGN_COL @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo Y el Registrador sigue ahí tan campante???? Y las elecciones legislativas ?? Ay mucha evidencia y no pasa nada @PNG_COL, es una vergüenza una burla la justicia en Colombia es un 💩💩💩💩🐀💩🐀",,
290,"Les comparto publicación de mi artículo ""Elecciones Colombia 2022""en la Revista Argentina de Derecho Electoral. 
 
 https://t.co/Ntm0DuF9Pc https://t.co/6sB6OXjzaA",neutral,joy
621,"Ya hubo un FRAUDE en las elecciones al congreso que Favoreció al #PactoHistorico 
 
 
 
 Se Advierte un fraude wn las próximas elecciones del 29 de Mayo.
 
 
 
 ¿Que esperan los entes de control para intervenir?
 
 
 
 Señores @FiscaliaCol
 
 @PGN_COL @CNE_COLOMBIA @PoliciaColombia https://t.co/s67ywJIM5W",negative,anger
318,"@jarizabaletaf QUE NOS DIGA DE UNA VEZ QUIEN ES EL PRESIDENTE,,,Y ACABAMOS CON ESTA MAMERA DE ELECCIONES..! Y EMPEZAMOS A CAMINAR POR TODA COLOMBIA ENMOCHILADOS…..CON LOS VENEZOLANOS….!",negative,anger
188,@guillodevalde @Registraduria @PGN_COL @CGR_Colombia @moecolombia Es que lo realmente malo es que no asisten para ser participes de las garantias y luego se están quejando de que se roban las elecciones cuando realmente no es así,negative,anger
577,"#NarcotraFICO se tomó a Colombia para impedir las elecciones 2022/2026
 
 
 
 https://t.co/oa14iGRkwJ https://t.co/1bUQEGwhWh",negative,anger
5,"Así como estamos en Colombia no pueden haber elecciones, primero toca proteger el país de los narcoterroristas donde se tiene que empezar por fumigar para acabar con la coca y los narcoasesinos terroristas, las elecciones no serían prioridad hasta que no renuncie el registrador",negative,anger
256,que MIEDO de verdad todo lo que esta pasando en Colombia y lo que va a pasar durante y después de elecciones,negative,fear
